oos_period,row_model,col_model,cov_matrice
165,1,5,-0.038460581113710576
165,1,6,0.19359195634413723
165,1,7,0.4197377333089708
165,1,8,0.28350209614581445
165,2,1,0.15455257109350706
165,2,2,0.8772565151619531
165,2,3,0.18100771422755257
165,2,4,0.20874713602071057
165,2,5,0.1758249419901251
165,2,6,0.21425840026471832
165,2,7,0.22676851761343997
165,2,8,0.15995041747553934
165,3,1,0.12621081342041313
165,3,2,0.18100771422755257
165,3,3,1.116056843714049
165,3,4,0.1554138457965161
165,3,5,0.17947684789576293
165,3,6,0.2260313291421146
165,3,7,0.1852607007351735
165,3,8,0.26356985548795103
