t,model_1,model_2,model_3,model_4,model_5,model_6,model_7,model_8
128,0.08130057035664498,0.14853447033826653,0.17783071089390898,0.14000765179166563,0.13755915205619837,0.09622424608027322,0.11711631250820104,0.10142688597384106
129,0.08000422946850232,0.14948066475075278,0.17765343778141984,0.1403398114064716,0.13824365590785806,0.09523290614543013,0.11755034727669846,0.1014949472618668
130,0.0783901579163388,0.15055452565826272,0.1773365931010349,0.14064904058900587,0.13896229261112109,0.09465521485687906,0.11766450224961272,0.1017876730167448
131,0.07715893144701738,0.1513939445990289,0.17650609267189785,0.14082806032946915,0.13943622110875417,0.0945739442579212,0.11766689403457886,0.1024359115503325
132,0.07577549679833838,0.1522780654113205,0.17558248481160685,0.1411575480305923,0.14026068508372377,0.09446313166661117,0.11764944179168552,0.10283314640512138
133,0.0743326303114901,0.152722674968604,0.17439064957555875,0.14145398504539036,0.1412754385378776,0.09490517746712054,0.11744499145156025,0.10347445264139833
134,0.07282283612112368,0.1533180418773257,0.17360062362656908,0.14190162523689942,0.14243782841039307,0.09519228409042818,0.11697963837730108,0.10374712225895978
135,0.07151624256861236,0.15376718545546617,0.17258964142011532,0.1422839746723403,0.14369613120211303,0.09551774265199119,0.11635092708874434,0.10427815493961726
136,0.07175367758546776,0.15339019065377674,0.1704508710288822,0.14229381636548072,0.14448381210971853,0.09650456351895288,0.11590115628682787,0.10522191244989318
137,0.07196802767841969,0.15303489523255215,0.16793549438105904,0.1420272062659726,0.14538178539773539,0.09771520766147819,0.1158263784112477,0.10611100497053529
138,0.0722055616975211,0.1525499645312007,0.1654631506368197,0.14174485780012533,0.14637887956366025,0.09891315503281932,0.11590510607529696,0.10683932466155666
139,0.0725497951650823,0.15206175909506606,0.1629833111088947,0.14140291372773447,0.14721644171789638,0.09996230341604,0.11633739304669802,0.10748608272158792
140,0.07214934716564418,0.15158327628949628,0.16104996136116498,0.14129683083008288,0.14819935407259124,0.10092888478911285,0.11663118767563113,0.10816115781527638
141,0.07169470064274729,0.15130420881757356,0.1593963434186547,0.1413307385378358,0.1496440214619346,0.1013667035048933,0.11654792756635199,0.10871535604900871
142,0.0721442767256814,0.15060276999598363,0.15721984591534238,0.14088402393576613,0.1506489285013071,0.10231528133137376,0.1165602155529813,0.10962465804056419
143,0.07239667880932585,0.15001801385486285,0.15556222245086837,0.14062118464462856,0.15175170350483616,0.10342104091792645,0.11608187066882598,0.11014728514772575
144,0.07219547776036457,0.14952768907931985,0.15411669432432687,0.14016216298646642,0.15271725713329334,0.10421129204347347,0.11611356019986642,0.11095586647188911
145,0.0706656707113559,0.14981120186759592,0.153443621792777,0.13990779289612384,0.15453846264384086,0.10437780740172715,0.11605704965817548,0.11119839302740367
146,0.06902106943460457,0.1501281309561873,0.15285989917244025,0.1397518312203062,0.15606715430444745,0.1047377480088899,0.11584869365427977,0.11158547324784453
147,0.06767972793903765,0.1499613554854681,0.15201773028362395,0.1395480033998963,0.15747530697826767,0.10513211423691468,0.11597569190376461,0.11221006977202692
148,0.0672749947617852,0.14945255373494626,0.15107564645075136,0.13944021924379965,0.15792715158368106,0.10559272516900861,0.11649718271022873,0.11273952634479908
149,0.06605347370237509,0.14926753979168259,0.15068880417790276,0.13960103268689225,0.1587200027898199,0.10577846042377233,0.11685997536774927,0.11303071105880576
150,0.06475126478180582,0.14947452360653965,0.1508420234491243,0.1398675391037376,0.1598798563969736,0.10564392652566221,0.11660421493794607,0.11293665119721075
151,0.06284863442181038,0.14933104358547875,0.15088308640870413,0.14052696248988852,0.16120670980465163,0.10575214878147743,0.11644674946179406,0.11300466504519509
152,0.06110503148791053,0.1492064447189717,0.15097827702721647,0.1409919360649933,0.16247954256689542,0.10610293804541442,0.11623322404883138,0.11290260603876665
153,0.059611671886495354,0.1488812707272034,0.15090683142063463,0.14110641979931748,0.16339467686269848,0.10668630009465593,0.1161995858416088,0.11321324336638584
154,0.05855191147613883,0.14829775786959687,0.15117100723095464,0.14106356930333921,0.16444486542092698,0.10728083172927312,0.11607809201186249,0.11311196495690785
155,0.05733282203082166,0.14747926874173978,0.1517522427707622,0.14144524570130923,0.1654190500154478,0.10790189622101184,0.1158013151299714,0.11286815938793603
156,0.05717477134830107,0.1462871067250575,0.15223614653653045,0.14137727466215672,0.1659227620483852,0.108651604737996,0.11574666759018884,0.11260366635038438
157,0.057741637068795586,0.1447869032368361,0.15205671548642932,0.14115236726308625,0.1659240170214761,0.10957094717206473,0.11604294359401268,0.11272446915629918
158,0.05822693469634928,0.1434597597792519,0.15171539913972784,0.14092084533520255,0.1657404474117412,0.11076610357522919,0.11638682951507397,0.11278368054642406
159,0.0577939164156429,0.14217493595032565,0.1515390890304869,0.14126167849095855,0.1664247106109959,0.11176262658154244,0.11634701558699846,0.11269602733204909
160,0.057636124432605594,0.14113627161256143,0.1514366928289593,0.14149642531977813,0.1670544523202603,0.11218612161863403,0.11631489996109666,0.11273901190510452
161,0.05638163530726939,0.14033461626743185,0.15156813213241882,0.14186650439674606,0.16837251994570873,0.11210269263287718,0.11644649649226416,0.11292740282428376
162,0.05341219855949073,0.13953084544624336,0.15234897190072086,0.14314914569464238,0.17038025342597346,0.11176920446325196,0.11625131225131004,0.11315806825736711
163,0.051194897296087526,0.13853948850295558,0.1528260808607269,0.14457408190204274,0.17166408817519271,0.11164993906196985,0.11576295208150873,0.11378847211851593
164,0.04844634872084911,0.13757020868061112,0.15355189653204712,0.1458284529331973,0.17337210911309853,0.11178636899192236,0.11538351291742414,0.1140611021098503
165,0.045898215947494096,0.13669828207415607,0.15366360843280755,0.14670730755477904,0.17510002323584598,0.11200866988578881,0.11510753176211347,0.11481636110601491
